"extId","name","logoUrl","available","quantityAvailable","rating","ratingCount","cashback","savings","soldLastDay"
"autozone-in-store-only","AutoZone (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/AutoZone/AutoZone-Logo.png",false,0,"3.3",478,,"0.00",0
"avenue","Avenue","https://s3.amazonaws.com/raise-content/ibi/Avenue-logo.png",false,0,"3.1",117,,"0.00",0
"babies-r-us","Babies""R""Us","https://s3.amazonaws.com/raise-content/ibi/BabiesRUs-logo.png",false,0,"3.1",203,,"0.00",0
"banana-republic","Banana Republic","https://raise-content.s3.amazonaws.com/MP-OPs/BananaRepublic-Logo.png",true,597,"3.3",796,,"13.46",2
"barneys-new-york","Barneys New York","https://s3.amazonaws.com/raise-content/ibi/BarneysNewYork-Logo.png",false,0,"3.6",102,,"0.00",0
"barnes-noble","Barnes & Noble","https://raise-content.s3.amazonaws.com/MP-OPs/BarnesNoble-Logo.png",true,171,"3.8",491,,"5.00",4
"baskin-robbins","Baskin Robbins","https://s3.amazonaws.com/raise-content/ibi/BaskinRobbins-Logo.png",true,6,"3.1",117,,"0.76",2
"bass-pro-shops","Bass Pro Shops®","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Bass+Pro+Shops/RAISE_BassProShops-Logo.png",true,192,"3.6",529,,"7.10",30
"bath-body-works","Bath & Body Works","https://raise-content.s3.amazonaws.com/MP-OPs/Bath%26BodyWorks-Logo.png",true,1952,"3.8",568,,"5.26",26
"bealls-florida-in-store-only","Bealls Florida (In Store Only)","https://s3.amazonaws.com/raise-content/ibi/BeallsFlorida-Logo.png",false,0,"3.3",196,,"0.00",0
"bebe","Bebe","https://s3.amazonaws.com/raise-content/ibi/Bebe-Logo.png",false,0,"3.2",110,,"0.00",0
"bed-bath-beyond","Bed Bath & Beyond","https://raise-content.s3.amazonaws.com/MP-OPs/BedBath%26Beyond-Logo.png",true,588,"3.4",536,,"3.90",43
"bed-bath-beyond-in-store-only","Bed Bath & Beyond (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/BedBath%26Beyond-Logo.png",false,0,"2.9",794,,"0.00",0
"bed-bath-beyond-online-only","Bed Bath & Beyond (Online Only)","https://raise-content.s3.amazonaws.com/MP-OPs/BedBath%26Beyond-Logo.png",true,6,"3.0",262,,"1.40",3
"bedandbreakfast-com","BedandBreakfast.com","https://s3.amazonaws.com/raise-content/ibi/BedandBreakfast-Logo.png",false,0,"4.4",466,,"0.00",0
"belk","Belk","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Belk/RAISE_Belk-Logo.png",true,157,"3.9",257,,"4.78",13
"best-buy","Best Buy®","https://raise-content.s3.amazonaws.com/MP-OPs/Best+Buy/BestBuy-Logo.png",true,2427,"3.7",1547,,"3.50",45
"big-lots","Big Lots","https://raise-content.s3.amazonaws.com/MP-OPs/Big+Lots/BigLots-Logo.png",true,102,"3.8",133,,"3.16",4
"bj-s-wholesale-club","BJ's Wholesale Club","https://s3.amazonaws.com/assets.coupontrade.com/pay/static/media/brandPlaceholder.png",false,0,"2.7",228,,"0.00",0
"blair","Blair","https://s3.amazonaws.com/raise-content/ibi/Blair-Logo.png",false,0,"4.8",180,,"0.00",0
"bliss","Bliss","https://s3.amazonaws.com/assets.coupontrade.com/pay/static/media/brandPlaceholder.png",true,19,"3.3",197,,"25.50",0
"blick","Blick","https://s3.amazonaws.com/raise-content/ibi/Blick-Logo.png",false,0,"3.0",127,,"0.00",0
"bloomingdale-s","Bloomingdale's","https://raise-content.s3.amazonaws.com/MP-OPs/Bloomingdales/Bloomingdales-Logo.png",true,6,"3.6",1158,,"0.00",6
"bob-evans-restaurants","Bob Evans Restaurants®","https://raise-content.s3.amazonaws.com/MP-OPs/Bob+Evans/BobEvans-Logo.png",true,238,"3.5",103,,"18.76",3
"bob-s-stores","Bob's Stores","https://s3.amazonaws.com/raise-content/ibi/BobsStores-Logo.png",false,0,"3.1",112,,"0.00",0
"bonefish-grill-physical","Bonefish Grill (Physical)","https://raise-content.s3.amazonaws.com/MP-OPs/BonefishGrill-Logo.png",true,25,"4.0",104,,"2.00",0
"boscov-s","Boscov's","https://raise-content.s3.amazonaws.com/MP-OPs/Boscovs/Boscovs-Logo.png",true,384,"3.2",113,,"10.00",6
"boston-market","Boston Market","https://raise-content.s3.amazonaws.com/MP-OPs/Boston+Market/BostonMarket-Logo.png",true,1157,"3.7",250,,"22.00",6
"bp-gas","BP Gas","https://s3.amazonaws.com/raise-content/ibi/BPGas-Logo.png",false,0,"3.6",189,,"0.00",0
"brooks-brothers","Brooks Brothers","https://s3.amazonaws.com/raise-content/ibi/BrooksBrothers-Logo.png",true,3,"3.1",475,,"10.00",0
"brookstone","Brookstone","https://s3.amazonaws.com/raise-content/ibi/Brookstone-Logo.png",false,0,"4.2",429,,"0.00",0
"buca-di-beppo","Buca di Beppo","https://s3.amazonaws.com/raise-content/ibi/BucadiBeppo-Logo.png",true,546,"4.0",343,,"16.80",3
"buckhead-life-restaurant-group","Buckhead Life Restaurant Group","https://s3.amazonaws.com/raise-content/ibi/BuckheadLifeRestaurantGroup-Logo.png",false,0,"2.2",124,,"0.00",0
"buckle","Buckle","https://s3.amazonaws.com/raise-content/ibi/Buckle-Logo.png",true,1,"4.2",147,,"3.00",0
"buffalo-wild-wings","Buffalo Wild Wings®","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Buffalo+Wild+Wings/RAISE_BuffaloWildWings-Logo.png",true,1008,"3.5",360,,"8.40",45
"build-a-bear-workshop","Build-A-Bear Workshop®","https://raise-content.s3.amazonaws.com/MP-OPs/Build+A+Bear/BuildABear-Logo.png",true,460,"3.7",328,,"18.30",12
"burger-king","BURGER KING®","https://raise-content.s3.amazonaws.com/MP-OPs/Burger+King/BurgerKing-logo.png",true,74,"3.4",727,,"4.10",5
"burlington","Burlington","https://raise-content.s3.amazonaws.com/MP-OPs/Burlington+Coat+Factory/Burlington-Logo.png",true,411,"3.3",526,,"7.20",7
"cabela-s","Cabela's","https://raise-content.s3.amazonaws.com/MP-OPs/Cabela's/Cabelas-Logo.png",true,1261,"3.6",734,,"7.10",13
"california-pizza-kitchen","California Pizza Kitchen","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/California+Pizza+Kitchen/RAISE_CPK-Logo.png",true,1275,"3.6",115,,"22.40",18
"callaway-golf","Callaway Golf","https://raise-content.s3.amazonaws.com/MP-OPs/Callaway+Golf/Callaway-Logo.png",true,19,"3.5",153,,"10.06",0
"carmike-cinemas","Carmike Cinemas","https://s3.amazonaws.com/raise-content/ibi/CarmikeCinemas-Logo.png",false,0,"4.2",291,,"0.00",0
"carnival","Carnival","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Carnival/RAISE_carnival-logo.png",true,15,"3.0",451,,"8.00",71
"carrabba-s-italian-grill-physical","Carrabba's Italian Grill (Physical)","https://raise-content.s3.amazonaws.com/MP-OPs/Carrabbas+Italian+Grill/Carrabbas+Italian+Grill-logo.png",true,11,"3.5",114,,"0.00",0
"carter-s","Carter's","https://raise-content.s3.amazonaws.com/MP-OPs/Carters/Carters-Logo.png",true,2373,"3.3",161,,"11.27",25
"cash-wise-grocery","Cash Wise Grocery","https://s3.amazonaws.com/raise-content/ibi/CashWiseGrocery-Logo.png",false,0,"1.2",261,,"0.00",0
"celebrity-cruises","Celebrity Cruises","https://raise-content.s3.amazonaws.com/MP-OPs/Celebrity+Cruises/CelebrityCruises-Logo.png",true,14,"2.9",299,,"10.00",3
"charming-charlie","Charming Charlie","https://s3.amazonaws.com/raise-content/ibi/CharmingCharlie-Logo.png",false,0,"3.0",177,,"0.00",0
"charlotte-russe","Charlotte Russe","https://s3.amazonaws.com/raise-content/ibi/CharlotteRusse-Logo.png",false,0,"3.2",428,,"0.00",0
"chevron-and-texaco","Chevron and Texaco","https://raise-content.s3.amazonaws.com/MP-OPs/Chevron+Texaco/ChevronTexaco-Logo.png",true,60,"3.2",170,,"1.00",0
"chick-fil-a","Chick-fil-A","https://s3.amazonaws.com/raise-content/ibi/Chick-fil-A-Logo.png",false,0,"3.6",347,,"0.00",0
"chico-s","Chico's","https://raise-content.s3.amazonaws.com/ibi/chicos-Logo.png",true,37,"3.0",360,,"4.48",0
"chili-s-grill-bar","Chili’s® Grill & Bar","https://raise-content.s3.amazonaws.com/MP-OPs/Chilis/Chilis-Logo.png",true,711,"3.6",439,,"12.00",37
"chipotle","Chipotle","https://s3.amazonaws.com/raise-content/ibi/Chipotle-Logo.png",true,2895,"2.7",152,,"6.80",46
"chipotle-physical","Chipotle (Physical)","https://s3.amazonaws.com/raise-content/ibi/Chipotle-Logo.png",true,55,"3.6",719,,"4.04",1
"chuck-e-cheese-s","Chuck E. Cheese's","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Chuck+E+Cheese/RAISE_ChuckECheese-Logo.png",true,307,"3.2",409,,"10.00",20
"cinemark","Cinemark","https://raise-content.s3.amazonaws.com/MP-OPs/Cinemark/Cinemark-Logo.png",true,19,"3.6",120,,"3.64",5
"cirque-du-soleil","Cirque du Soleil","https://s3.amazonaws.com/raise-content/ibi/CirqueDuSoleil-Logo.png",false,0,"3.1",209,,"0.00",0
"claire-s","Claire's","https://raise-content.s3.amazonaws.com/MP-OPs/Claire's/Claires-Logo.png",true,20,"3.0",248,,"20.00",1
"coach","COACH","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Coach/RAISE_Coach-Logo.png",false,0,"3.8",189,,"0.00",0
"cold-stone-creamery","Cold Stone Creamery","https://raise-content.s3.amazonaws.com/MP-OPs/Cold+Stone+Creamery/ColdStone-Logo.png",true,1239,"3.1",751,,"30.00",25
"cole-haan","Cole Haan","https://s3.amazonaws.com/raise-content/ibi/ColeHaan-Logo.png",true,274,"3.0",179,,"11.46",2
"columbia-sportswear-company","Columbia Sportswear Company","https://raise-content.s3.amazonaws.com/MP-OPs/Columbia/Columbia-Logo.png",true,89,"3.1",263,,"4.06",2
"costco","Costco","https://s3.amazonaws.com/raise-content/ibi/Costco-Logo.png",false,0,"3.6",537,,"0.00",1
"costco-online-only","Costco (Online Only)","https://s3.amazonaws.com/raise-content/ibi/Costco-Logo.png",false,0,"2.3",104,,"0.00",2
"cracker-barrel-old-country-store-physical","Cracker Barrel Old Country Store® (Physical)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Cracker+Barrel/RAISE_cracker-barrel-logo.png",true,1,"3.7",194,,"0.00",0
"craftworks-restaurants","CraftWorks Restaurants","https://s3.amazonaws.com/raise-content/ibi/CraftWorksRestaurants-Logo.png",true,9,"4.8",106,,"13.00",0
"crate-barrel","Crate & Barrel","https://raise-content.s3.amazonaws.com/MP-OPs/Crate+%26+Barrel/CrateBarrel-Logo.png",true,18,"3.5",153,,"3.00",2
"crutchfield","Crutchfield","https://raise-content.s3.amazonaws.com/MP-OPs/Crutchfield/Crutchfield-Logo.png",true,34,"3.9",118,,"3.16",0
"cvs-pharmacy","CVS Pharmacy®","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/CVS/RAISE_CVS-Logo.png",true,54,"3.7",1116,,"2.00",10
"darden-restaurants","Darden Restaurants","https://raise-content.s3.amazonaws.com/MP-OPs/DardenRestaurants-Logo.png",true,13,"4.4",554,,"5.00",0
"dave-buster-s","Dave & Buster's®","https://raise-content.s3.amazonaws.com/MP-OPs/Dave+Busters/DaveBusters-Logo.png",true,189,"3.6",170,,"5.64",8
"dell","Dell","https://s3.amazonaws.com/raise-content/ibi/Dells-Logo.png",false,0,"3.3",861,,"0.00",0
"delta-air-lines","Delta Air Lines","https://raise-content.s3.amazonaws.com/MP-OPs/Delta+Air+Lines/DeltaAirLines-Logo.png",true,287,"3.1",684,,"3.00",25
"denny-s","Denny's","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Dennys/RAISE_Dennys-Logo.png",false,0,"3.7",112,,"0.00",0
"dick-s-sporting-goods-in-store-only","Dick's Sporting Goods (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/Dicks+Sporting+Goods/Dicks-Logo.png",true,3,"3.6",237,,"5.63",1
"dickey-s-barbecue-pit","Dickey's Barbecue Pit","https://s3.amazonaws.com/raise-content/ibi/DickeysBarbecuePit-Logo.png",false,0,"4.8",225,,"0.00",0
"dick-s-sporting-goods","DICK’S Sporting Goods","https://raise-content.s3.amazonaws.com/MP-OPs/Dicks+Sporting+Goods/Dicks-Logo.png",true,437,"3.0",1252,,"3.21",16
"dillard-s","Dillard's","https://s3.amazonaws.com/raise-content/ibi/Dillards-Logo.png",true,1,"3.6",215,,"4.73",2
"dillard-s-online-only","Dillard's (Online Only)","https://s3.amazonaws.com/raise-content/ibi/Dillards-Logo.png",false,0,"3.0",161,,"0.00",0
"discovery-channel-store","Discovery Channel Store","https://s3.amazonaws.com/raise-content/ibi/DiscoveryChannelStore-Logo.png",false,0,"3.1",114,,"0.00",0
"disney","Disney","https://raise-content.s3.amazonaws.com/MP-OPs/Disney/Disney-Logo.png",true,208,"3.5",1105,,"0.66",27
"disney-store","Disney Store","https://s3.amazonaws.com/raise-content/ibi/DisneyStore-Logo.png",true,26,"3.7",496,,"0.36",5
"disney-store-in-store-only","Disney Store (In Store Only)","https://s3.amazonaws.com/raise-content/ibi/DisneyStore-Logo.png",false,0,"3.0",356,,"0.00",0
"dollar-tree","Dollar Tree","https://s3.amazonaws.com/assets.coupontrade.com/pay/static/media/brandPlaceholder.png",false,0,"3.7",166,,"0.00",2
"domino-s","Domino’s®","https://raise-content.s3.amazonaws.com/MP-OPs/Dominos/Dominos-logo.png",true,7906,"3.1",551,,"18.88",490
"dressbarn","Dressbarn","https://s3.amazonaws.com/raise-content/ibi/Dressbarn-Logo.png",false,0,"3.5",210,,"0.00",0
"dsw","DSW","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/DSW/RAISE_DSW-Logo.png",true,854,"3.6",305,,"8.86",12
"dunkin-donuts","Dunkin' Donuts","https://raise-content.s3.amazonaws.com/MP-OPs/Dunkin'+Donuts/DunkinDonuts-Logo.png",true,32,"4.8",1362,,"0.76",40
"ebay","eBay","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/ebay/RAISE_ebay-Logo.png",false,0,"3.1",2541,,"0.00",0
"eddie-bauer","Eddie Bauer","https://raise-content.s3.amazonaws.com/MP-OPs/Eddie+Bauer/EddieBauer-Logo.png",true,16,"3.1",650,,"3.03",1
"eddie-v-s","Eddie V's","https://s3.amazonaws.com/assets.coupontrade.com/pay/static/media/brandPlaceholder.png",true,1,"4.9",103,,"0.02",0
"express","Express","https://raise-content.s3.amazonaws.com/MP-OPs/express-icon.png",true,1171,"3.6",495,,"16.00",15
"exxon-mobil","Exxon Mobil","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/EXXON/RAISE_EXXON-Logo.png",false,0,"3.2",177,,"0.00",0
"famous-dave-s","Famous Dave's®","https://raise-content.s3.amazonaws.com/MP-OPs/Famous+Daves/FamousDaves-Logo.png",true,618,"3.6",132,,"22.16",4
"famous-footwear","Famous Footwear","https://raise-content.s3.amazonaws.com/MP-OPs/FamousFootwear-Logo.png",true,181,"3.1",161,,"4.00",2
"fanatics","Fanatics","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Fanatics/RAISE_Fanatics-Logo.png",true,11,"3.2",288,,"8.99",8
"fandango","Fandango","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Fandango/RAISE_Fandango-Logo.png",true,1972,"3.9",504,,"12.08",37
"fannie-may-gifts","Fannie May Gifts","https://s3.amazonaws.com/raise-content/ibi/FannieMay-Logo.png",false,0,"2.4",141,,"0.00",0
"fatz","Fatz","https://s3.amazonaws.com/raise-content/ibi/Fatz-Logo.png",true,2,"5.0",113,,"5.00",0
"five-guys","Five Guys","https://s3.amazonaws.com/raise-content/ibi/FiveGuys-Logo.png",false,0,"3.1",450,,"0.00",0
"fleming-s-physical","Fleming's (Physical)","https://raise-content.s3.amazonaws.com/MP-OPs/Flemings/Flemings-Logo.png",true,4,"2.9",305,,"10.00",0
"fogo-de-chao","Fogo De Chao","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Fogo+De+Chao/RAISE_FogoDeChao-logo.png",true,165,"4.0",160,,"10.50",0
"foot-locker","Foot Locker","https://raise-content.s3.amazonaws.com/MP-OPs/Foot+Locker/FootLocker-Logo.png",true,2,"4.4",118,,"3.00",1
"forever-21","Forever 21","https://raise-content.s3.amazonaws.com/MP-OPs/Forever+21/Forever21-Logo.png",true,17,"3.2",2216,,"14.00",0
"francesca-s","Francesca's","https://s3.amazonaws.com/assets.coupontrade.com/pay/static/media/brandPlaceholder.png",true,5,"3.2",156,,"13.00",1
"free-people","Free People","https://s3.amazonaws.com/raise-content/ibi/FreePeople-Logo.png",false,0,"3.0",201,,"0.00",0
"fuddruckers","Fuddruckers","https://s3.amazonaws.com/raise-content/ibi/Fuddruckers-Logo.png",true,32,"2.5",117,,"5.00",0
"gamestop","GameStop","https://raise-content.s3.amazonaws.com/MP-OPs/GameStop/GameStop-Logo.png",true,1304,"3.9",590,,"7.16",13
"gap","GAP","https://raise-content.s3.amazonaws.com/MP-OPs/Gap-Logo.png",true,1324,"3.8",427,,"14.50",13
"gilt","Gilt","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Gilt/RAISE_Gilt-Logo.png",false,0,"3.1",241,,"0.00",0
"glen-ivy-spa","Glen Ivy Spa","https://s3.amazonaws.com/raise-content/ibi/GlenIvySpa-Logo.png",false,0,"2.9",114,,"0.00",0
"global-hotel-card-powered-by-expedia","Global Hotel Card Powered by Expedia","https://raise-content.s3.amazonaws.com/MP-OPs/Global+Expedia/GlobalExpedia-Logo.png",true,12,"3.4",179,,"6.00",0
"golden-corral","Golden Corral","https://s3.amazonaws.com/raise-content/ibi/GoldenCorral-Logo.png",false,0,"3.0",204,,"0.00",0
"google-play","Google Play","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/google+play/RAISE_GooglePlay-Logo.png",true,590,"3.3",594,,"1.46",20
"gordmans","Gordmans","https://s3.amazonaws.com/raise-content/ibi/Gordmans-Logo.png",false,0,"1.5",1982,,"0.00",0
"great-clips","Great Clips","https://s3.amazonaws.com/raise-content/ibi/GreatClips-Logo.png",false,0,"4.1",170,,"0.00",0
"groupon","Groupon","https://raise-content.s3.amazonaws.com/MP-OPs/Groupon-Logo.png",true,89,"3.1",440,,"0.56",6
"guitar-center","Guitar Center®","https://raise-content.s3.amazonaws.com/MP-OPs/Guitar+Center/GuitarCenter-Logo.png",true,2,"3.1",270,,"2.50",2
"gymboree","Gymboree","https://s3.amazonaws.com/raise-content/ibi/Gymboree-Logo.png",true,18,"3.5",145,,"4.96",0
"h-e-b-online-only","H-E-B (Online Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/HEB/RAISE_HEB-Logo.png",false,0,"3.6",118,,"0.00",0
"h-m","H&M","https://raise-content.s3.amazonaws.com/MP-OPs/H-M-icon3.png",true,1271,"3.3",1464,,"10.66",11
"hanna-andersson","Hanna Andersson","https://s3.amazonaws.com/raise-content/ibi/HannaAndersson-Logo.png",false,0,"2.8",114,,"0.00",0
"harbor-freight-tools","Harbor Freight Tools","https://s3.amazonaws.com/raise-content/ibi/HarborFreightTools-Logo.png",false,0,"3.5",124,,"0.00",0
"harris-teeter-grocery","Harris Teeter Grocery","https://s3.amazonaws.com/raise-content/ibi/HarrisTeeterGrocery-Logo.png",false,0,"3.0",111,,"0.00",0
"hobby-lobby","Hobby Lobby","https://s3.amazonaws.com/raise-content/ibi/HobbyLobby-Logo.png",false,0,"3.8",130,,"0.00",0
"hollister","Hollister","https://raise-content.s3.amazonaws.com/MP-OPs/Hollister/Hollister-Logo.png",true,35,"3.9",247,,"8.00",3
"homegoods","HomeGoods","https://raise-content.s3.amazonaws.com/MP-OPs/HomeGoods-Logo.png",true,32,"3.5",687,,"1.50",0
"honeybaked","HoneyBaked®","https://s3.amazonaws.com/raise-content/ibi/HoneyBaked-Logo.png",true,38,"3.4",112,,"15.50",1
"hotels-com","Hotels.com","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Hotels/RAISE_Hotels-Logo.png",true,207,"3.0",1047,,"1.65",4
"hp","HP","https://s3.amazonaws.com/raise-content/ibi/HP-Logo.png",false,0,"3.2",239,,"0.00",0
"hyatt","Hyatt","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Hyatt/RAISE_Hyatt-Logo.png",false,1,"3.7",373,,"0.00",0
"ihop","IHOP®","https://raise-content.s3.amazonaws.com/MP-OPs/IHOP/IHOP-Logo.png",true,2202,"3.4",226,,"17.06",23
"ikea-in-store-only","Ikea (In Store Only)","https://s3.amazonaws.com/raise-content/ibi/IKEA-Logo.png",true,2,"3.1",167,,"6.30",1
"ikea-online-only","Ikea (Online Only)","https://s3.amazonaws.com/raise-content/ibi/IKEA-Logo.png",true,2092,"3.2",507,,"7.10",43
"itunes","iTunes","https://s3.amazonaws.com/raise-content/ibi/iTunes-Logo.png",false,0,"3.1",5625,,"0.00",0
"j-jill","J Jill","https://s3.amazonaws.com/raise-content/ibi/JJill-Logo.png",false,0,"3.0",162,,"0.00",0
"j-crew","J.Crew","https://raise-content.s3.amazonaws.com/MP-OPs/J.Crew/JCrew-Logo.png",true,17,"3.1",474,,"0.46",0
"jack-in-the-box","Jack in the Box","https://s3.amazonaws.com/raise-content/ibi/JackInTheBox-Logo.png",false,0,"3.2",269,,"0.00",0
"jcpenney","JCPenney","https://raise-content.s3.amazonaws.com/MP-OPs/JCPenney/JCPenney-Logo.png",true,969,"3.8",1678,,"6.46",16
"jersey-mike-s-subs","Jersey Mike's Subs","https://raise-content.s3.amazonaws.com/MP-OPs/Jersey+Mike's/JerseyMikes-Logo.png",true,665,"3.0",119,,"5.20",5
"jiffy-lube","Jiffy Lube®","https://raise-content.s3.amazonaws.com/MP-OPs/Jiffy+Lube/JiffyLube-Logo.png",true,2433,"2.8",271,,"20.96",19
"jimmy-john-s","Jimmy John's","https://s3.amazonaws.com/raise-content/ibi/JimmyJohns-Logo.png",false,0,"4.0",117,,"0.00",0
"jo-ann-fabrics","Jo Ann Fabrics","https://raise-content.s3.amazonaws.com/MP-OPs/Joann-Logo.png",true,16,"3.5",162,,"2.20",0
"jos-a-bank","Jos. A. Bank","https://s3.amazonaws.com/raise-content/ibi/JosABank-Logo.png",true,40,"4.0",135,,"1.96",4
"justice","Justice","https://s3.amazonaws.com/raise-content/ibi/Justice-Logo.png",false,0,"3.8",187,,"0.00",0
"kate-spade","Kate Spade","https://s3.amazonaws.com/raise-content/ibi/KateSpade-Logo.png",false,0,"3.3",159,,"0.00",0
"kay-jewelers","Kay Jewelers","https://s3.amazonaws.com/raise-content/ibi/KayJewelers-Logo.png",true,1,"3.2",217,,"5.00",0
"kfc","KFC","https://s3.amazonaws.com/raise-content/ibi/KFC-logo.png",false,0,"3.6",106,,"0.00",0
"kmart","Kmart","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/KMart/RAISE_Kmart-Logo.png",false,0,"3.2",497,,"0.00",0
"kohl-s","Kohl's","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Kohls/RAISE_Kohls-Logo.png",true,1444,"4.0",1507,,"3.99",33
"kohl-s-in-store-only","Kohl's (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Kohls/RAISE_Kohls-Logo.png",false,0,"3.0",112,,"0.00",0
"kroger","Kroger","https://raise-content.s3.amazonaws.com/MP-OPs/kroger-logo-taxon.png",true,211,"3.6",344,,"1.20",7
"l-l-bean","L.L.Bean","https://raise-content.s3.amazonaws.com/MP-OPs/L.L.Bean/LLBean-Logo.png",true,636,"4.2",125,,"13.58",8
"landry-s","Landry's","https://raise-content.s3.amazonaws.com/MP-OPs/Landry's/Landrys-Logo.png",true,101,"4.8",1434,,"14.27",2
"lands-end","Lands' End","https://raise-content.s3.amazonaws.com/MP-OPs/Lands'+End/LandsEnd-Logo.png",true,23,"4.9",343,,"4.00",0
"lane-bryant","Lane Bryant®","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Lane+Bryant/RAISE_LaneBryant-Logo.png",true,692,"3.2",272,,"13.96",5
"lego","Lego","https://s3.amazonaws.com/raise-content/ibi/Lego-Logo.png",false,0,"3.3",271,,"0.00",0
"levi-s","Levi's","https://s3.amazonaws.com/raise-content/ibi/Levis-Logo.png",true,12,"3.1",187,,"13.00",1
"little-caesars-pizza","Little Caesars Pizza","https://s3.amazonaws.com/raise-content/ibi/LittleCaesarsPizza-Logo.png",false,0,"2.9",104,,"0.00",0
